iter	RMSE
0	0.395364863
1	0.3881397876
2	0.3811880234
3	0.3739590866
4	0.3670304898
5	0.3611625112
6	0.3545503524
7	0.3483102555
8	0.3423906743
9	0.3369291975
10	0.3309467316
11	0.3250884494
12	0.3198234112
13	0.314376873
14	0.3095278849
15	0.304380722
16	0.2991987906
17	0.2940986192
18	0.2896632542
19	0.2849025735
20	0.2800991554
21	0.2759741038
22	0.271835674
23	0.2674956029
24	0.2633711802
25	0.2594333163
26	0.255572211
27	0.2518513777
28	0.2486507816
29	0.2453273481
30	0.2419991783
31	0.2385135604
32	0.2350923181
33	0.2318500737
34	0.2288751488
35	0.2262767005
36	0.223386893
37	0.2206942734
38	0.2180499048
39	0.2154043162
40	0.2129055422
41	0.2106938828
42	0.2081288502
43	0.2059530863
44	0.2037849873
45	0.2017937798
46	0.1997330029
47	0.1976455142
48	0.1957822437
49	0.19369021
50	0.1916370625
51	0.1898740935
52	0.1877799537
53	0.1857568222
54	0.1838510993
55	0.1820261072
56	0.1802629717
57	0.1785241661
58	0.1771278325
59	0.1754776265
60	0.1741394352
61	0.1727334372
62	0.1712494691
63	0.1698211606
64	0.1684354046
65	0.1673142664
66	0.1660570255
67	0.1647165878
68	0.1634272826
69	0.1621760393
70	0.1611001544
71	0.1599926694
72	0.1589141939
73	0.1578657924
74	0.1567406406
75	0.1559463185
76	0.1550493951
77	0.1540984287
78	0.1530963797
79	0.1520420962
80	0.1512897147
81	0.1503507277
82	0.1494118101
83	0.1484754942
84	0.147563508
85	0.1467620849
86	0.1458997824
87	0.145100778
88	0.1442613469
89	0.1435802933
90	0.1428078134
91	0.1421325197
92	0.1413956524
93	0.140749823
94	0.1400812991
95	0.1394320985
96	0.138727922
97	0.1379561749
98	0.1373997943
99	0.1368045241
100	0.1361805668
101	0.1355892643
102	0.1349293155
103	0.1343166984
104	0.1338039938
105	0.1332739862
106	0.1328416508
107	0.1322009617
108	0.1317369105
109	0.1312316462
110	0.1306919329
111	0.1301877763
112	0.1297361275
113	0.1293231933
114	0.1288415526
115	0.1283490414
116	0.1279366138
117	0.1275108781
118	0.1269860148
119	0.1265740391
120	0.1260282681
121	0.1256641969
122	0.1252609129
123	0.1248490091
124	0.1245073142
125	0.1241921054
126	0.1237336049
127	0.1233723009
128	0.1229487183
129	0.1225033603
130	0.1222978036
131	0.1219188977
132	0.1215927156
133	0.1212339032
134	0.1209111935
135	0.1204696044
136	0.1202400935
137	0.1199449132
138	0.1196318979
139	0.1193743815
140	0.1191618856
141	0.1188604144
142	0.1185129571
143	0.1182468114
144	0.1180051456
145	0.1177212629
146	0.1174887269
147	0.1171997533
148	0.1168116597
149	0.1165067936
150	0.1162713727
151	0.1160270001
152	0.1157248921
153	0.1154030616
154	0.1150686426
155	0.1148146448
156	0.1145941416
157	0.1143136698
158	0.1139350966
159	0.1136420257
160	0.1134468619
161	0.1131136124
162	0.1128747753
163	0.1126674996
164	0.1124609574
165	0.1122195056
166	0.1120365518
167	0.1117363595
168	0.1115054525
169	0.1113486556
170	0.1112262281
171	0.1110566889
172	0.1108688011
173	0.1107088425
174	0.110532229
175	0.1102460075
176	0.1100947095
177	0.1099610118
178	0.1097937212
179	0.1096523866
180	0.1094725369
181	0.1092853467
182	0.1090998548
183	0.1088831518
184	0.1086782557
185	0.1084235929
186	0.1083045455
187	0.1081070253
188	0.1078679744
189	0.1077677605
190	0.1075554652
191	0.1073771933
192	0.1073084283
193	0.1071099931
194	0.1068731703
195	0.1067021295
196	0.1066115358
197	0.1063270504
198	0.1061125511
199	0.1059415813
200	0.1058623039
201	0.1056683956
202	0.1054907606
203	0.1054563473
204	0.1052305098
205	0.1050548631
206	0.1049518622
207	0.1048500143
208	0.1046602363
209	0.1045029875
