experiment,hidden1,hidden2,learning_rate,weight_decay,batch_size,epochs,val_rmse
5,32,16,0.002,0.0001,32,100,0.23656207713261934
8,32,16,0.001,0.0001,16,100,0.2785984991399453
3,128,64,0.001,0.0001,32,100,0.8373645117752465
1,32,16,0.001,0.0001,32,100,0.8829282161526724
7,32,16,0.001,0.001,32,100,1.018015117862767
2,64,32,0.001,0.0001,32,100,1.0353077327803897
6,32,16,0.001,1e-05,32,100,1.2149673840575848
9,32,16,0.001,0.0001,64,100,1.3559397118368612
4,32,16,0.0005,0.0001,32,100,1.3649998191861323
