iter	RMSE
0	0.379143325
1	0.3723253655
2	0.3654095245
3	0.3586400619
4	0.3521109326
5	0.3456452766
6	0.3391018566
7	0.3331214767
8	0.327096444
9	0.3218232098
10	0.3167942464
11	0.311384142
12	0.3063196798
13	0.3012400663
14	0.2963478319
15	0.291207795
16	0.2864291863
17	0.2818630137
18	0.2773406022
19	0.2727898922
20	0.2684004893
21	0.2644023429
22	0.2606085121
23	0.256781505
24	0.2532574471
25	0.2497665563
26	0.246196697
27	0.2429970562
28	0.2393837478
29	0.2358571642
30	0.2325408877
31	0.2292383987
32	0.2261866903
33	0.2233127962
34	0.220259359
35	0.2172879782
36	0.2145194694
37	0.211817791
38	0.2091529072
39	0.2065713362
40	0.2041168916
41	0.2017739757
42	0.1994145698
43	0.1971376566
44	0.1946261077
45	0.192658392
46	0.1904430995
47	0.1881957418
48	0.1861933158
49	0.1844757161
50	0.1826392193
51	0.1808480345
52	0.1787985054
53	0.176894895
54	0.1752060248
55	0.1735315576
56	0.1718693368
57	0.1700795028
58	0.1686634678
59	0.1671981715
60	0.1657586879
61	0.1642644724
62	0.1627648244
63	0.1613083437
64	0.1599793048
65	0.1586227985
66	0.1573009383
67	0.1560524899
68	0.1548830943
69	0.1537151607
70	0.1525547595
71	0.1514399455
72	0.150312858
73	0.1492257386
74	0.1482231226
75	0.1470307108
76	0.146039417
77	0.1449758674
78	0.1440406789
79	0.143232171
80	0.1423264244
81	0.1414210128
82	0.1404018864
83	0.1395851783
84	0.1388721136
85	0.1380662891
86	0.1372750809
87	0.1364898458
88	0.1356271374
89	0.1348577814
90	0.1341201354
91	0.1334545394
92	0.1327015836
93	0.1320013667
94	0.1311929357
95	0.130630248
96	0.13000319
97	0.1293157302
98	0.1287031776
99	0.1281088105
100	0.1275143749
101	0.1268665591
102	0.1263365524
103	0.1257015181
104	0.1251617951
105	0.1245920795
106	0.1239713527
107	0.1234347366
108	0.1227903852
109	0.1222242159
110	0.1217224024
111	0.1212196843
112	0.1206430194
113	0.1201930635
114	0.1197382336
115	0.1191830051
116	0.1186430764
117	0.1180849321
118	0.1175873112
119	0.1171365398
120	0.1167521904
121	0.1163497432
122	0.1159323639
123	0.1154868321
124	0.1151415202
125	0.114754569
126	0.1144339984
127	0.1140918677
128	0.1137608916
129	0.1134103285
130	0.1130328265
131	0.1126016966
132	0.1122991341
133	0.1119062264
134	0.1116038874
135	0.1112586506
136	0.1108959735
137	0.110513317
138	0.1100947891
139	0.1098188661
140	0.109546188
141	0.1092220677
142	0.1089648711
143	0.1087298979
144	0.1083385699
145	0.1080768406
146	0.1078657123
147	0.1075089582
148	0.1072093639
149	0.106943663
150	0.1065936385
151	0.1062909057
152	0.1061054526
153	0.105795811
154	0.1055834648
155	0.1053214246
156	0.1050561024
157	0.1047520898
158	0.1044990952
159	0.1042132409
160	0.1039741654
161	0.1037352494
162	0.1035547671
163	0.1032853586
164	0.1030797703
165	0.1028311444
166	0.1025791489
167	0.1022976784
168	0.1019804289
169	0.101756034
170	0.1014972878
171	0.101305854
172	0.1011904452
173	0.1009712096
174	0.1007827368
175	0.1005109886
176	0.1002545228
177	0.1001749955
178	0.09991613603
179	0.09972087151
180	0.09948936357
181	0.09919309238
182	0.09900926764
183	0.09873628436
184	0.0986658504
185	0.09844028238
186	0.09822059393
187	0.09810554444
188	0.09787715121
189	0.09771388114
190	0.09766635626
191	0.0975263346
192	0.09735528978
193	0.09721276379
194	0.097034413
195	0.09682667472
196	0.09667182384
197	0.09655685749
198	0.09638047513
199	0.09618362666
200	0.09607433256
201	0.09589272261
202	0.09573360457
203	0.09555522314
204	0.09531769512
205	0.09514875969
206	0.09498928098
207	0.09492338077
208	0.09474416497
209	0.09458033982
210	0.09445119557
211	0.09426966396
212	0.09413402234
213	0.09398336891
214	0.09385814877
215	0.09365610221
216	0.09348881719
217	0.0933415536
218	0.0931342763
219	0.09293699343
220	0.09282512616
221	0.09265876118
222	0.09248830599
223	0.09227751087
224	0.0921316736
225	0.09194680251
226	0.09181378038
227	0.09167287087
228	0.09150585854
229	0.09145984064
230	0.09137500884
231	0.09121344769
232	0.09102980811
233	0.09082805724
234	0.09068015293
235	0.09056604288
236	0.09042025605
237	0.09025756791
238	0.09013174062
239	0.08997461348
240	0.08982621143
241	0.08963625301
242	0.08949529305
243	0.08934706366
244	0.08918922502
245	0.08910154221
246	0.0890276367
247	0.08888203915
248	0.08872083977
249	0.08858023857
250	0.08842798521
251	0.08831141194
252	0.08819805909
253	0.08805167459
254	0.0879394433
255	0.08780537351
256	0.08770634887
257	0.0875900604
258	0.0874931225
259	0.08735836362
260	0.08726869523
261	0.08717249726
262	0.08706334817
263	0.08694337917
264	0.08680038596
265	0.08672874527
266	0.0865912674
267	0.0864815631
268	0.08637815813
269	0.08625203537
270	0.08608219486
271	0.08601800279
272	0.08590122247
273	0.08584951912
274	0.08566362229
275	0.0855282424
276	0.08541043884
277	0.08531541294
278	0.08521856795
279	0.08503134786
280	0.08489023979
281	0.08483733321
282	0.08473121658
283	0.08463858065
284	0.0844574638
285	0.08431799056
286	0.0842606569
287	0.08414075052
288	0.08405344073
289	0.08400970332
290	0.08396378023
291	0.08377991452
292	0.08374183126
293	0.08360229436
294	0.08345958493
295	0.08339964362
296	0.08320881305
297	0.08307220701
298	0.08303714718
299	0.08294269017
300	0.08280071232
301	0.08273128048
302	0.08255403415
303	0.08244031488
304	0.08239519482
305	0.08224474024
306	0.08211195155
307	0.0819603978
308	0.08186117065
309	0.08180734119
310	0.08174285898
311	0.08161265686
312	0.08157874177
313	0.08153649305
314	0.08139476131
315	0.08135467314
316	0.08129678056
317	0.08126156669
318	0.08114320377
319	0.08100837654
320	0.08089961335
321	0.08086549225
322	0.08069776377
323	0.08066553718
324	0.08063609421
325	0.08053883088
326	0.08044133834
327	0.08036859404
328	0.08023167858
329	0.08019723264
330	0.08016039884
331	0.0800649213
332	0.07992239806
333	0.07988531749
334	0.07985858223
335	0.07981903649
336	0.07972203631
337	0.07968835214
338	0.07962878298
339	0.07959920676
340	0.07956743088
341	0.07953252577
342	0.07950205815
343	0.07947182452
344	0.07939505912
345	0.07936339849
346	0.07933140819
347	0.07925879179
348	0.07909440218
349	0.07906442865
350	0.07890513235
351	0.07881570961
352	0.0787721535
353	0.07874315131
354	0.07859358989
355	0.07846881406
356	0.0784397008
357	0.07838576989
358	0.07827577015
359	0.07824216628
360	0.07819489235
361	0.07811703446
362	0.07796248421
363	0.07786649014
364	0.07782177742
365	0.07777612284
366	0.07764845685
367	0.07754068087
368	0.07751604681
369	0.07740710545
370	0.07737741425
371	0.07722998423
372	0.0770871988
373	0.07700323239
374	0.07687592023
375	0.07678849111
376	0.07672357071
377	0.07659010559
378	0.0764614256
379	0.07634679752
380	0.07630509383
381	0.07617683424
382	0.07615553298
383	0.07604726213
384	0.07591678186
385	0.07578818614
386	0.07571532082
387	0.07559436146
388	0.07549034444
389	0.0754643382
390	0.07540078379
391	0.07537628802
392	0.07519670724
393	0.07507599778
394	0.07496931012
395	0.07493339311
396	0.07481536114
397	0.07470658311
398	0.07460819241
399	0.07449621556
400	0.07438700605
401	0.07426523925
402	0.07417621469
403	0.07407720873
404	0.07395231523
405	0.07391937182
406	0.07387967357
407	0.07382199963
408	0.0737079305
409	0.07359589794
410	0.07349767714
411	0.07336658938
412	0.07331472771
413	0.07318122195
414	0.07314851835
415	0.07307944748
416	0.07305169864
417	0.07296229095
418	0.07285055143
419	0.07282959803
420	0.07280840434
421	0.07278265289
422	0.07269385038
423	0.07267544666
424	0.07260589112
425	0.07256077861
426	0.07248536358
427	0.07246468322
428	0.07234855793
429	0.07229968838
430	0.0722183295
431	0.07213528702
432	0.07211213467
433	0.07198391029
434	0.07187855332
435	0.07185890296
436	0.07176112865
437	0.07161474065
438	0.07151294328
439	0.0714940952
440	0.0713766113
441	0.07127593458
442	0.07111743652
443	0.07109964947
444	0.0709706423
445	0.07095208983
446	0.07093620039
447	0.07087668156
448	0.07082368549
449	0.0707800212
450	0.07063775392
451	0.07052354845
452	0.07050274874
453	0.07044329874
454	0.07036199145
455	0.07029754499
456	0.07015826762
457	0.07005441024
458	0.06995297892
459	0.06982735928
460	0.06974205481
461	0.06966190002
462	0.06963632501
463	0.06961546376
464	0.06953018836
465	0.06951204016
466	0.06939324528
467	0.06927951185
468	0.0691988274
469	0.06905744975
470	0.06903859442
471	0.06902518439
472	0.06892799948
473	0.06886124771
474	0.06882253157
475	0.06880219067
476	0.06874671391
477	0.06863721011
478	0.06853106112
479	0.06846779939
480	0.06844694622
481	0.06841595066
482	0.06829831707
483	0.06825083742
484	0.06813858052
485	0.06806817997
486	0.068031849
487	0.06801580898
488	0.06793351494
489	0.06783064435
490	0.06775304981
491	0.06759633671
492	0.06752693617
493	0.06740998293
494	0.06734602001
495	0.06732965109
496	0.06730748703
497	0.06726234863
498	0.06716012688
499	0.06714333811
500	0.06711403951
501	0.06709875278
502	0.06704805719
503	0.06700992061
504	0.06689727434
505	0.06677220751
506	0.06668391799
507	0.06666809251
508	0.06665329668
509	0.06656617178
510	0.06647399171
511	0.06646070836
512	0.06639825022
513	0.06629577009
514	0.06628167273
515	0.06626945693
516	0.06621156153
517	0.06613486253
518	0.06612242577
519	0.066108822
520	0.06600519154
521	0.06599325305
522	0.0659496264
523	0.06592874315
524	0.06584417277
525	0.06577711202
526	0.065726632
527	0.06564838692
528	0.06561493835
529	0.06550725839
530	0.06538682049
531	0.06525802617
532	0.06516935853
533	0.0650937766
534	0.06498157468
535	0.06490384551
536	0.06484286205
537	0.06483355379
538	0.06475850514
539	0.06463231486
540	0.06455550159
541	0.06443099988
542	0.06441826836
543	0.06440639533
544	0.06430608823
545	0.06427872298
546	0.06423611455
547	0.06413257752
548	0.06410386498
549	0.06406371488
550	0.06401350814
551	0.06394951996
552	0.06391470248
553	0.0638074722
554	0.06371611489
555	0.0636628387
556	0.0636490259
557	0.06350295921
558	0.06341167964
559	0.06332460395
560	0.06326438482
561	0.06323540988
562	0.06316023722
563	0.06307839078
564	0.06302064917
565	0.06295821235
566	0.06294797
567	0.06286696899
568	0.06277943097
569	0.0627170745
570	0.06269447488
571	0.06256926601
572	0.06252477864
573	0.06250669679
574	0.06249628451
575	0.06239924128
576	0.0623858062
577	0.06231082092
578	0.06221525876
579	0.06210325225
580	0.06202076629
581	0.06200185251
582	0.06192531045
583	0.06187653032
584	0.06184964148
585	0.06183671705
586	0.06182920546
587	0.06174842991
588	0.06167928545
589	0.06166894145
590	0.06160190859
